"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"97",9,"Nick Westbrook-Ikhine",MIA,"12","3 out of 5 stars","-"
"98",9,"Kayshon Boutte",NE,"14","3 out of 5 stars","-5"
"99",9,"Jalen Nailor",MIN,"6","2 out of 5 stars","+15"
"100",9,"Tre Tucker",LV,"8","4 out of 5 stars","+7"
"101",9,"Isaac TeSlaa",DET,"8","3 out of 5 stars","-27"
"102",9,"Parker Washington",JAC,"8","4 out of 5 stars","+20"
"103",9,"Luke McCaffrey",WAS,"12","3 out of 5 stars","-"
"104",9,"Tim Patrick",DET,"8","3 out of 5 stars","-"
"105",9,"Christian Watson",GB,"5","2 out of 5 stars","+1"
"106",9,"Xavier Restrepo",TEN,"10","4 out of 5 stars","-1"
"107",9,"Jermaine Burton",CIN,"10","3 out of 5 stars","+10"
"108",9,"Ray-Ray McCloud III",ATL,"5","3 out of 5 stars","-19"
"109",9,"Tez Johnson",TB,"9","3 out of 5 stars","-"
"110",9,"Amari Cooper",FA,"-","-","-19"
"111",9,"Tutu Atwell",LAR,"8","3 out of 5 stars","+5"
"112",9,"Troy Franklin",DEN,"12","3 out of 5 stars","-33"
"113",10,"Jordan Whittington",LAR,"8","3 out of 5 stars","-2"
"114",10,"Josh Reynolds",NYJ,"9","4 out of 5 stars","-"
"115",10,"Demarcus Robinson",SF,"14","4 out of 5 stars","-3"
"116",10,"Noah Brown",WAS,"12","3 out of 5 stars","-14"
"117",10,"KaVontae Turpin",DAL,"10","2 out of 5 stars","-13"
"118",10,"Marquez Valdes-Scantling",SEA,"8","3 out of 5 stars","+1"
"119",10,"Tai Felton",MIN,"6","2 out of 5 stars","+2"
"120",10,"John Metchie III",PHI,"9","3 out of 5 stars","-"
"121",10,"Gabe Davis",FA,"-","-","-"
"122",10,"KeAndre Lambert-Smith",LAC,"12","3 out of 5 stars","-23"
"123",10,"Jaylin Lane",WAS,"12","3 out of 5 stars","-"
"124",10,"Isaiah Bond",CLE,"9","2 out of 5 stars","-9"
"125",10,"Olamide Zaccheaus",CHI,"5","2 out of 5 stars","-33"
"126",10,"Savion Williams",GB,"5","2 out of 5 stars","-"
"127",10,"Chimere Dike",TEN,"10","4 out of 5 stars","-"
"128",10,"Curtis Samuel",BUF,"7","3 out of 5 stars","-"
"129",10,"Mack Hollins",NE,"14","3 out of 5 stars","-"
"130",10,"Allen Lazard",NYJ,"9","4 out of 5 stars","-"
"131",10,"Greg Dortch",ARI,"8","4 out of 5 stars","-"
"132",10,"Zay Jones",ARI,"8","4 out of 5 stars","-"
"133",10,"Jahan Dotson",PHI,"9","3 out of 5 stars","-"
"134",10,"Jacob Cowing",SF,"14","4 out of 5 stars","-"
"135",10,"Van Jefferson",TEN,"10","4 out of 5 stars","-"
"136",10,"Hunter Renfrow",CAR,"14","4 out of 5 stars","-"
"137",10,"Jalin Hyatt",NYG,"14","2 out of 5 stars","-"
"138",10,"Jordan Watkins",SF,"14","4 out of 5 stars","-"
"139",10,"Kendrick Bourne",NE,"14","3 out of 5 stars","-"
"140",10,"Arian Smith",NYJ,"9","4 out of 5 stars","-"
"141",11,"Theo Wease Jr.",MIA,"12","3 out of 5 stars","-"
"142",11,"Robert Woods",PIT,"5","4 out of 5 stars","-"
"143",11,"Tank Dell",HOU,"6","4 out of 5 stars","-"
"144",11,"Devontez Walker",BAL,"7","3 out of 5 stars","-"
"145",11,"Antwane Wells Jr.",NYG,"14","2 out of 5 stars","-"
"146",11,"Jamari Thrash",CLE,"9","2 out of 5 stars","-"
"147",11,"Jonathan Mingo",DAL,"10","2 out of 5 stars","-"
"148",11,"JuJu Smith-Schuster",KC,"10","3 out of 5 stars","-"
"149",11,"Malachi Corley",NYJ,"9","4 out of 5 stars","-"
"150",11,"Jake Bobo",SEA,"8","3 out of 5 stars","-"
"151",11,"Efton Chism III",NE,"14","3 out of 5 stars","-50"
"152",11,"KhaDarel Hodge",ATL,"5","3 out of 5 stars","-"
"153",11,"Tyquan Thornton",KC,"10","3 out of 5 stars","-"
"154",11,"Javon Baker",NE,"14","3 out of 5 stars","-"
"155",11,"Tyler Johnson",NYJ,"9","4 out of 5 stars","-"
"156",11,"Xavier Hutchinson",HOU,"6","4 out of 5 stars","-"
"157",11,"Kalif Raymond",DET,"8","3 out of 5 stars","-"
"158",11,"Michael Gallup",WAS,"12","3 out of 5 stars","-"
"159",11,"K.J. Osborn",WAS,"12","3 out of 5 stars","-"
"160",11,"Lucky Jackson",MIN,"6","2 out of 5 stars","-"
"161",11,"Jimmy Horn Jr.",CAR,"14","4 out of 5 stars","-"
"162",11,"Cedrick Wilson Jr.",NO,"11","4 out of 5 stars","-"
"163",11,"Casey Washington",ATL,"5","3 out of 5 stars","-"
"164",11,"Derius Davis",LAC,"12","3 out of 5 stars","-"
"165",11,"Konata Mumpfield",LAR,"8","3 out of 5 stars","-"
"166",12,"Bub Means",NO,"11","4 out of 5 stars","-"
"167",12,"Tylan Wallace",BAL,"7","3 out of 5 stars","-"
"168",12,"Sterling Shepard",TB,"9","3 out of 5 stars","-"
"169",12,"David Moore",CAR,"14","4 out of 5 stars","-"
"170",12,"Ricky White III",SEA,"8","3 out of 5 stars","-"
"171",12,"Skyy Moore",SF,"14","4 out of 5 stars","-"
"172",12,"Xavier Gipson",NYJ,"9","4 out of 5 stars","-"
"173",12,"Ainias Smith",PHI,"9","3 out of 5 stars","-"
"174",12,"David Bell",CLE,"9","2 out of 5 stars","-"
"175",12,"Trent Sherfield Sr.",DEN,"12","3 out of 5 stars","-"
"176",12,"Nick Nash",ATL,"5","3 out of 5 stars","-"
"177",12,"Ashton Dulin",IND,"11","4 out of 5 stars","-"
"178",12,"Beaux Collins",NYG,"14","2 out of 5 stars","-"
"179",12,"DeAndre Carter",CLE,"9","2 out of 5 stars","-"
"180",12,"Velus Jones Jr.",NO,"11","4 out of 5 stars","-"
"181",12,"Trey Palmer",TB,"9","3 out of 5 stars","-"
"182",12,"Charlie Jones",CIN,"10","3 out of 5 stars","-"
"183",12,"Scotty Miller",PIT,"5","4 out of 5 stars","-"
"184",12,"Mason Tipton",NO,"11","4 out of 5 stars","-"
"185",12,"Ben Skowronek",PIT,"5","4 out of 5 stars","-"
"186",12,"Mecole Hardman Jr.",GB,"5","2 out of 5 stars","-"
"187",12,"Jalen Brooks",DAL,"10","2 out of 5 stars","-"
"188",12,"Xavier Smith",LAR,"8","3 out of 5 stars","-"
"189",12,"Kaden Prather",BUF,"7","3 out of 5 stars","-"
"190",12,"Justin Watson",HOU,"6","4 out of 5 stars","-"
"191",12,"Russell Gage Jr.",SF,"14","4 out of 5 stars","-"
"192",12,"DJ Chark Jr.",FA,"-","-","-"
"193",12,"Chris Blair",ATL,"5","3 out of 5 stars","-"
"194",12,"A.T. Perry",DEN,"12","3 out of 5 stars","-"
"195",12,"Simi Fehoko",ARI,"8","4 out of 5 stars","-"
"196",12,"Tim Jones",MIN,"6","2 out of 5 stars","-"
"197",12,"Erik Ezukanma",MIA,"12","3 out of 5 stars","-"
"198",12,"Mitchell Tinsley",CIN,"10","3 out of 5 stars","-88"
"199",12,"Robbie Chosen",SF,"14","4 out of 5 stars","-"
"200",12,"Terrace Marshall Jr.",PHI,"9","3 out of 5 stars","-"
"201",12,"Joshua Cephus",JAC,"8","4 out of 5 stars","-"
"202",12,"Brandon Johnson",PIT,"5","4 out of 5 stars","-"
"203",12,"Austin Trammell",JAC,"8","4 out of 5 stars","-"
"204",12,"Anthony Gould",IND,"11","4 out of 5 stars","-"
"205",12,"Dee Eskridge",MIA,"12","3 out of 5 stars","-"
"206",12,"LaJohntay Wester",BAL,"7","3 out of 5 stars","-"
"207",12,"Bo Melton",GB,"5","2 out of 5 stars","-"
"208",12,"Malik Heath",GB,"5","2 out of 5 stars","-"
"209",12,"Lil'Jordan Humphrey",NYG,"14","2 out of 5 stars","-"
"210",12,"Dominic Lovett",DET,"8","3 out of 5 stars","-"
"211",12,"Rakim Jarrett",TB,"9","3 out of 5 stars","-"
"212",12,"Ryan Flournoy",DAL,"10","2 out of 5 stars","-"
"213",13,"Ihmir Smith-Marsette",NYG,"14","2 out of 5 stars","-"
"214",13,"Ronnie Bell",DET,"8","3 out of 5 stars","-"
"215",13,"James Proche II",TEN,"10","4 out of 5 stars","-"
"216",13,"Kevin Austin Jr.",NO,"11","4 out of 5 stars","-"
"217",13,"Julian Fleming",FA,"-","-","-"
"218",13,"Devin Duvernay",CHI,"5","2 out of 5 stars","-"
"219",13,"Darius Cooper",PHI,"9","3 out of 5 stars","-"
"220",13,"Collin Johnson",LV,"8","4 out of 5 stars","-"
"221",13,"Kobe Hudson",CAR,"14","4 out of 5 stars","-"
"222",13,"Michael Woods II",FA,"-","-","-"
"223",13,"Laviska Shenault Jr.",BUF,"7","3 out of 5 stars","-"
"224",13,"Kaden Davis",CLE,"9","2 out of 5 stars","-"
"225",13,"Xavier Weaver",ARI,"8","4 out of 5 stars","-"
"226",13,"Trenton Irwin",JAC,"8","4 out of 5 stars","-"
"227",13,"Brennan Eagles",FA,"-","-","-"
"228",13,"Nelson Agholor",FA,"-","-","-"
"229",13,"Jha'Quan Jackson",TEN,"10","4 out of 5 stars","-"
"230",13,"John Stephens Jr.",DAL,"10","2 out of 5 stars","-"
"231",13,"Zach Pascal",FA,"-","-","-"
"232",13,"Mason Kinsey",TEN,"10","4 out of 5 stars","-"
"233",13,"Ryan Miller",TB,"9","3 out of 5 stars","-"
"234",13,"Jalen Reagor",LAC,"12","3 out of 5 stars","-"
"235",13,"Braxton Berrios",HOU,"6","4 out of 5 stars","-"
"236",13,"Michael Bennett",FA,"-","-","-"
"237",13,"Ja'Corey Brooks",WAS,"12","3 out of 5 stars","-"
"238",13,"Bryce Oliver",TEN,"10","4 out of 5 stars","-"
"239",13,"Kevin White",FA,"-","-","-"
"240",13,"KJ Hamler",BUF,"7","3 out of 5 stars","-"
"241",13,"Justin Shorter",LV,"8","4 out of 5 stars","-"
"242",13,"Kadarius Toney",FA,"-","-","-"
"243",13,"Donovan Peoples-Jones",FA,"-","-","-"
"244",13,"Chase Claypool",FA,"-","-","-"
"245",13,"Tyler Scott",CHI,"5","2 out of 5 stars","-"
"246",13,"Tom Kennedy",DET,"8","3 out of 5 stars","-"
"247",13,"Tahj Washington",MIA,"12","3 out of 5 stars","-"
"248",13,"Junior Bergen",SF,"14","4 out of 5 stars","-"
"249",13,"Michael Strachan",FA,"-","-","-"
"250",13,"Isaiah Williams",CIN,"10","3 out of 5 stars","-"
"251",13,"Tyrell Shavers",BUF,"7","3 out of 5 stars","-"
"252",13,"Brycen Tremayne",CAR,"14","4 out of 5 stars","-149"
"253",14,"Braylon Sanders",WAS,"12","3 out of 5 stars","-"
"254",14,"Marquez Callaway",LV,"8","4 out of 5 stars","-"
"255",14,"Cody White",SEA,"8","3 out of 5 stars","-"
"256",14,"Nikko Remigio",KC,"10","3 out of 5 stars","-"
"257",14,"Tejhaun Palmer",ARI,"8","4 out of 5 stars","-"
"258",14,"Elijah Cooks",PHI,"9","3 out of 5 stars","-"
"259",14,"Laquon Treadwell",IND,"11","4 out of 5 stars","-"
"260",14,"Isaiah Neyor",GB,"5","2 out of 5 stars","-"
"261",14,"Steven Sims Jr.",SEA,"8","3 out of 5 stars","-"
"262",14,"River Cracraft",WAS,"12","3 out of 5 stars","-"
"263",14,"Elijhah Badger",KC,"10","3 out of 5 stars","-"
"264",14,"Kameron Johnson",TB,"9","3 out of 5 stars","-"
"265",14,"Jamal Agnew",ATL,"5","3 out of 5 stars","-"
"266",14,"Traeshon Holden",DAL,"10","2 out of 5 stars","-"
"267",14,"Lance McCutcheon",PIT,"5","4 out of 5 stars","-"
"268",14,"Dareke Young",SEA,"8","3 out of 5 stars","-"
"269",14,"Chris Moore",WAS,"12","3 out of 5 stars","-"
"270",14,"Phillip Dorsett II",LV,"8","4 out of 5 stars","-"
"271",14,"Alex Bachman",LV,"8","4 out of 5 stars","-"
"272",15,"Brenden Rice",LAC,"12","3 out of 5 stars","-"
"273",15,"Gunner Olszewski",NYG,"14","2 out of 5 stars","-"
"274",15,"Samori Toure",CHI,"5","2 out of 5 stars","-"
"275",15,"Andre Baccellia",ARI,"8","4 out of 5 stars","-"
